company_name,domain,sic_code,location_addresses,revenue
Prospa,www.prospa.com,99,ASIA,100000
Big Un,www.bigunlimited.com.au,99,ASIA,100000
TripADeal,www.tripadeal.com.au,99,ASIA,100000
LegalVision,legalvision.com.au,99,ASIA,100000
Employsure,www.employsure.com.au,99,ASIA,100000
Media33,www.media33.com.au,99,ASIA,100000
Araza,www.araza.com.au,99,ASIA,100000
HealthEngine,www.healthengine.com.au,99,ASIA,100000
Digivizer,www.digivizer.com,99,ASIA,100000
OpenAgent,www.openagent.com.au,99,ASIA,100000
Hub24,www.hub24.com.au,99,ASIA,100000
Dinner Twist,www.dinnertwist.com.au,99,ASIA,100000
Taurus Funds Management,www.taurusfunds.com.au,99,ASIA,100000
Stackla,stackla.com,99,ASIA,100000
Online Marketing Gurus,www.onlinemarketinggurus.com.au,99,ASIA,100000
Excavation Equipment,www.exeq.com.au,99,ASIA,100000
b.box for kids,www.bbox.com.au,99,ASIA,100000
Snowdome Foundation,www.snowdome.org.au,99,ASIA,100000
Octopus Deploy,octopus.com,99,ASIA,100000
Rhinomed,www.rhinomed.com.au,99,ASIA,100000
Clinuvel Pharmaceuticals,www.clinuvel.com,99,ASIA,100000
Devcon Building Co,www.builtbetter.com.au,99,ASIA,100000
TopBetta,www.topbetta.com.au,99,ASIA,100000
TPC Consolidated,www.telpacific.com.au,99,ASIA,100000
Triaxial Consulting,www.triaxial.com.au,99,ASIA,100000
Regeneus,www.regeneus.com.au,99,ASIA,100000
Alkane Resources,www.alkane.com.au,99,ASIA,100000
Spacecubed Ventures,www.spacecubed.com,99,ASIA,100000
Quickstep,www.quickstep.com.au,99,ASIA,100000
McAndrew Property Group,www.mcandrewgroup.com.au,99,ASIA,100000
Lynas Corp.,www.lynascorp.com,99,ASIA,100000
SalesFix,www.salesfix.com.au,99,ASIA,100000
Phoslock Water Solutions,www.phoslock.com.au,99,ASIA,100000
Spectur,www.spectur.com.au,99,ASIA,100000
