company,cidr,,,,,,
Huawei,103.31.200.0/22,,,,,,
Huawei,117.78.0.0/20,,,,,,
Huawei,117.78.16.0/21,,,,,,
Huawei,117.78.24.0/21,,,,,,
Huawei,117.78.24.0/24,,,,,,
Huawei,117.78.25.0/24,,,,,,
Huawei,117.78.29.0/24,,,,,,
Huawei,117.78.30.0/24,,,,,,
Huawei,117.78.31.0/24,,,,,,
Huawei,117.78.32.0/19,,,,,,
Huawei,117.78.32.0/21,,,,,,
Huawei,117.78.40.0/22,,,,,,
Huawei,117.78.44.0/22,,,,,,
Huawei,117.78.48.0/21,,,,,,
Huawei,117.78.56.0/22,,,,,,
Huawei,117.78.60.0/22,,,,,,
Huawei,119.3.0.0/19,,,,,,
Huawei,119.3.112.0/21,,,,,,
Huawei,119.3.114.0/24,,,,,,
Huawei,119.3.120.0/21,,,,,,
Huawei,119.3.160.0/19,,,,,,
Huawei,119.3.192.0/19,,,,,,
Huawei,119.3.224.0/19,,,,,,
Huawei,119.3.32.0/19,,,,,,
Huawei,119.3.64.0/19,,,,,,
Huawei,119.3.96.0/20,,,,,,
Huawei,122.112.128.0/22,,,,,,
Huawei,122.112.132.0/22,,,,,,
Huawei,122.112.136.0/21,,,,,,
Huawei,122.112.144.0/20,,,,,,
Huawei,122.112.160.0/19,,,,,,
Huawei,122.112.192.0/24,,,,,,
Huawei,122.112.196.0/22,,,,,,
Huawei,122.112.200.0/21,,,,,,
Huawei,122.112.208.0/20,,,,,,
Huawei,122.112.224.0/19,,,,,,
Huawei,139.159.128.0/22,,,,,,
Huawei,139.159.132.0/22,,,,,,
Huawei,139.159.136.0/21,,,,,,
Huawei,139.159.144.0/20,,,,,,
Huawei,139.159.160.0/22,,,,,,
Huawei,139.159.176.0/20,,,,,,
Huawei,139.159.192.0/20,,,,,,
Huawei,139.159.208.0/20,,,,,,
Huawei,139.159.224.0/19,,,,,,
Huawei,139.9.0.0/19,,,,,,
Huawei,139.9.14.0/24,,,,,,
Huawei,139.9.176.0/20,,,,,,
Huawei,139.9.192.0/19,,,,,,
Huawei,139.9.32.0/19,,,,,,
Huawei,139.9.64.0/19,,,,,,
Huawei,43.254.0.0/22,,,,,,
Huawei,43.254.0.0/24,,,,,,
Huawei,43.254.1.0/24,,,,,,
Huawei,43.254.2.0/24,,,,,,
Huawei,43.254.3.0/24,,,,,,
