id,name,,year,field,num0,city,country,num1,num2
121179,graspskills.global,,2013,e-learning,Nov-50,"london, london, united kingdom",united kingdom,7,8
5069353,hoe hoe engineering pte ltd,,,civil engineering,Nov-50,,singapore,7,8
5800472,california state athletic commission,,,education management,Nov-50,"madrid, madrid, spain",spain,7,10
4180342,citi cards canada inc.,,,executive office,Nov-50,"mississauga, ontario, canada",canada,7,38
1344714,smith siberian services llc,,,oil & energy,Nov-50,"moscow, moscow, russia",russia,7,37
1471323,marioff corporation oy,,1985,mechanical or industrial engineering,Nov-50,"oslo, oslo, norway",norway,7,23
2646815,europapress holding d.o.o.,,,publishing,Nov-50,"zagreb, city of zagreb, croatia",croatia,7,42
7026912,autocrocetta spa,,,automotive,Nov-50,"milano, lombardy, italy",italy,7,17
7095649,ipswich girls grammar school,,,insurance,Nov-50,"ipswich, queensland, australia",australia,7,15
112593,rbb - ralph beattie bosworth,,1968,construction,Nov-50,"perth, western australia, australia",australia,7,11
1516436,epfl emba,,1998,education management,Nov-50,"lausanne, vaud, switzerland",switzerland,7,7
5327172,tiba engineering industries manzalawi co,,,building materials,Nov-50,"madrid, madrid, spain",spain,7,12
2123843,centex international limited,,,apparel & fashion,Nov-50,,zimbabwe,7,17
1493568,act.global,,2013,biotechnology,Nov-50,"copenhagen, capital region, denmark",denmark,7,13
2670637,handtmann maschinenfabrik gmbh & co. kg maschinenfabrik,,,machinery,Nov-50,"bissingen, bavaria, germany",germany,7,16
5258036,best learning - shenyang,,2011,education management,Nov-50,"shenyang, liaoning, china",china,7,36
2123768,the techna institute,,2011,hospital & health care,Nov-50,"toronto, ontario, canada",canada,7,7
5069423,lumel,,1953,electrical/electronic manufacturing,Nov-50,"zielona gora, lubuskie, poland",poland,7,12
7026476,buro engineers,,,civil engineering,Nov-50,,singapore,7,8
7121964,clifford chance deutschland llp,,,law practice,Nov-50,"london, london, united kingdom",united kingdom,7,9
4034662,congatec ag,,2005,electrical/electronic manufacturing,Nov-50,"deggendorf, bayern, germany",germany,7,14
6174553,gerry weber far east limited,,,apparel & fashion,Nov-50,"kowloon, kowloon city, hong kong",hong kong,7,13
15142,holy cross high school,,,philanthropy,Nov-50,"hamilton, south lanarkshire, united kingdom",canada,7,17
15141,onuva,,2006,computer software,Nov-50,"huelva, andalusia, spain",spain,7,52
4269682,event horizon,,,management consulting,Nov-50,"naples, campania, italy",italy,7,18
212233,"auren portugal - auditoria, assessoria, consultoria",,,facilities services,Nov-50,"lisbon, lisbon, portugal",portugal,7,19
1327392,ch karnchang pcl (ck),,,construction,Nov-50,"bangkok, bangkok, thailand",thailand,7,12
7027151,piovan asia pte ltd,,,plastics,Nov-50,,singapore,7,15
1128018,bin shihon group company limited,,,electrical/electronic manufacturing,Nov-50,"jeddah, makkah, saudi arabia",saudi arabia,7,14
6157148,ratnaveer stainless products private limited,,,import and export,Nov-50,"vadodara, gujarat, india",india,7,13
1516814,sonderpädagogisches förderzentrum,,,individual & family services,Nov-50,"bergen, mecklenburg-vorpommern, germany",germany,7,7
6136193,1963 limited,,,marketing and advertising,Nov-50,"london, greater london, united kingdom",united kingdom,7,7
5243256,morgan interim,,,international trade and development,Nov-50,"paris, île-de-france, france",france,7,43
4268953,tawesco s.r.o.,,1995,machinery,Nov-50,"koprivnice, moravskoslezsky kraj, czechia",czechia,7,11
2007729,webnatics,,2008,marketing and advertising,Nov-50,,singapore,7,12
2847321,independiente communications limited,,,design,Nov-50,"nether heyford, northamptonshire, united kingdom",united kingdom,7,8
5345843,outsourcing de nómina (ono),,1995,information technology and services,Nov-50,"mexico, distrito federal, mexico",mexico,7,16
2847334,kay enterprises,,,marketing and advertising,Nov-50,"north york, ontario, canada",canada,7,10
4339197,uthgra central,,,civic & social organization,Nov-50,"buenos aires, puntarenas, costa rica",costa rica,7,10
7096339,västerbottens handelskammare,,1974,international trade and development,Nov-50,"skellefteå, vaesterbotten, sweden",sweden,7,16
2007123,wiko mobile algérie,,2013,telecommunications,Nov-50,"algiers, alger, algeria",algeria,7,9
213465,pesquera centromar s.a.,,,food production,Nov-50,"madrid, madrid, spain",spain,7,10
2670796,southern gas networks plc,,,utilities,Nov-50,"horley, surrey, united kingdom",united kingdom,7,18
2007263,king edward vi aston school,,,primary/secondary education,Nov-50,"birmingham, birmingham, united kingdom",united kingdom,7,24
4179813,nec xon,,1996,information technology and services,Nov-50,"johannesburg, gauteng, south africa",south africa,7,7
5733778,alesayi beverages corp,,,food & beverages,Nov-50,"jeddah, makkah, saudi arabia",saudi arabia,7,10
4136610,mercedes vriesdonk,,,automotive,Nov-50,"brasschaat, antwerpen, belgium",belgium,7,16
1153553,bnf-partenariats,,2012,publishing,Nov-50,"paris, île-de-france, france",france,7,11
7093505,crowe horwath croatia,,,accounting,Nov-50,"zagreb, grad zagreb, croatia",croatia,7,24
209084,active melbourne city sports (amcs),,,"health, wellness and fitness",Nov-50,"docklands, victoria, australia",australia,7,16
1956882,fizzy distribution,,1978,food production,Nov-50,"rosieres, haute-loire, france",france,7,15
6412782,ahorro y eficiencia energetica,,2012,renewables & environment,Nov-50,"san fernando de henares, madrid, spain",spain,7,7
1128762,astron institute of social sciences,,2013,research,Nov-50,"gurgaon, haryana, india",india,7,8
6232042,tp-link peru,,2015,wireless,Nov-50,"lima, lima region, peru",peru,7,7
1170079,jeec - jornadas da engenharia electrotécnica e de computadores,,,education management,Nov-50,"lisbon, lisbon, portugal",portugal,7,66
5112545,epox,,,internet,Nov-50,"chino, nagano, japan",japan,7,20
