name,domain,kovrr_sic,country_code
Brandywiners Limited Tic,,79,US_DE
R E Heating,,76,US_ME
Rudisill Ann L,,81,US_ME
John Moriarty Assoc,,73,US_RI
24 Hour Emergency Locksmith,,76,US_DC
Downtown Apartments,,73,US_WV
General Building Services,,73,US_NH
milano produzioni s.r.l.,,78,IT
A D C Wildlife Management,,87,US_SD
Interstate Commodities Inc,,87,US_SD
Jpg Enterprises LLC,,73,US_NH
Dale Effertz,,73,US_ND
Joralmon Richard A DDS,,80,US_HI
Neci Solutions Contract S,,87,US_VT
Minimax Consulting LLC,,87,US_RI
Pinkerton Rogers Ltd,,73,US_NH
Whittaker Laurie A MD,,80,US_VT
Professional Drafting Service,,73,US_ND
Stinger Foam LLC,,73,US_WY
Loftus Inc,,73,US_DC
Lyons Patrick D,,80,US_NH
Mudgett Bookkeeping,,87,US_WY
Dr Terry Walsh,,80,US_ND
Goosewing Ranch,,79,US_WY
Paul E Lane,,81,US_WV
Lau Jr Richard K Y MD,,80,US_HI
Artabane & Belden Pc,,81,US_DC
M Nestor,,73,US_WV
Kendall Roberts,,73,US_WY
Vbr Investments LLC,,65,US_RI
Lloyd Wambeke,,73,US_MT
Stephen W Gefvert,,73,US_ME
Jay J Holmes,,73,US_NH
Marspan,,87,US_NH
Moise Viau,,73,US_VT
Green Leaf Tree Experts,,78,US_VT
Cedar Villas,,65,US_MT
Rainglow Services Inc,,73,US_MT
Kim Montgomery Dmd,,80,US_VT
Hafeles' Bobcat Service,,78,US_ND
Nii Robert T CPA,,87,US_HI
Palmieri Sonia,,80,US_DC
State Farm Insurance,,64,US_VT
Grant Auction,,73,US_ME
Specialty Operations Solutionsinc,,73,US_RI
Bubbas Lawn Care And Snow Remo,,78,US_DE
Photos By Jenni,,73,US_WY
Boy Clb Grtr Wash Slv,,75,US_DC
Cheek Appraisals,,65,US_NH
Scheat Railey Landscaping,,78,US_WV
E Jane Gardner Pc,,87,US_SD
Skill Properties LLC,,65,US_WY
Chatterjee Sohini,,81,US_DC
Van Note Christine,,80,US_MT
Maple Hill Forestry,,87,US_ME
Alison L Ramsdell,,73,US_ME
Creative Machine Inc,,76,US_RI
Church of God,,86,US_RI
Marte H Stensli,,73,US_ND
"david and margaret home, inc.",,80,ES
Hale Iwa Wetland Farms LLC,,72,US_HI
Charleston Auto Inc,,76,US_WV
