name,original_sic,kovrr_sic,address,country_code,industry,domain,revenue,num_of_employee,source
emirates steel,14,14,"abu dhabi, abu dhabi, united arab emirates",AE,NA,emiratessteel.com,NA,-1,more missing 190626
emal,14,14,"abu dhabi, abu dhabi, united arab emirates",AE,NA,emal.ae,NA,-1,more missing 190626
al ghurair iron & steel llc,14,14,"abu dhabi, abu dhabi, united arab emirates",AE,NA,agis.ae,NA,-1,more missing 190626
hamriyah steel,14,14,"sharjah, sharjah, united arab emirates",AE,NA,hamriyahsteel.ae,NA,-1,more missing 190626
alam steel,14,14,"dubai, dubai, united arab emirates",AE,NA,alamsteel.net,NA,-1,more missing 190626
taweelah aluminium extrusion company (talex) llc,14,14,"abu dhabi, abu dhabi, united arab emirates",AE,NA,senaat.co,NA,-1,more missing 190626
asia bolts industries llc,14,14,"dubai, dubai, united arab emirates",AE,NA,asia-bolt.com,NA,-1,more missing 190626
link middle east limited,14,14,"dubai, dubai, united arab emirates",AE,NA,linkmiddleeast.com,NA,-1,more missing 190626
conares,14,14,"jebel ali, dubai, united arab emirates",AE,NA,conares.com,NA,-1,more missing 190626
emirates gold,14,14,"dubai, dubai, united arab emirates",AE,NA,emiratesgold.ae,NA,-1,more missing 190626
belchina group of companies,14,14,"dubai, dubai, united arab emirates",AE,NA,belchina.com,NA,-1,more missing 190626
global wear solutions,14,14,"dubai, dubai, united arab emirates",AE,NA,globalwearsolutions.com,NA,-1,more missing 190626
fistco,14,14,"dubai, dubai, united arab emirates",AE,NA,fistco.net,NA,-1,more missing 190626
amania mining,14,14,"kabul, kabul, afghanistan",AF,NA,amania-mining.com,NA,-1,more missing 190626
afghanite geo & mining engineering services (iso certified),14,14,"kabul, kabol, afghanistan",AF,NA,afghanite.net,NA,-1,more missing 190626
catoca,14,14,"luanda, luanda, angola",AO,NA,catoca.com,NA,-1,more missing 190626
sociedade mineira do chitotolo,14,14,"luanda, luanda, angola",AO,NA,chitotolo.com,NA,-1,more missing 190626
endiama e.p.,14,14,"luanda, luanda, angola",AO,NA,endiama.co.ao,NA,-1,more missing 190626
costa blanca angola,14,14,"luanda, luanda, angola",AO,NA,costablanca-angola.com,NA,-1,more missing 190626
acindar | grupo arcelormittal,14,14,"tablada, buenos aires, argentina",AR,NA,acindar.com.ar,NA,-1,more missing 190626
aluar,14,14,"victoria, entre rios, argentina",AR,NA,aluar.com.ar,NA,-1,more missing 190626
minera alumbrera,14,14,"hualfin, catamarca, argentina",AR,NA,alumbrera.com.ar,NA,-1,more missing 190626
cementos avellaneda s.a.,14,14,"buenos aires, buenos aires f.d., argentina",AR,NA,cementosavellaneda.com.ar,NA,-1,more missing 190626
cerro vanguardia,14,14,"puerto san julian, santa cruz, argentina",AR,NA,cerrovanguardia.com.ar,NA,-1,more missing 190626
sales de jujuy s.a.,14,14,"los perales, jujuy, argentina",AR,NA,salesdejujuy.com,NA,-1,more missing 190626
sidersa sa,14,14,"rosario, santa fe, argentina",AR,NA,sidersa.com,NA,-1,more missing 190626
famiq s.a.,14,14,"federal, entre rios, argentina",AR,NA,famiq.com.ar,NA,-1,more missing 190626
inesa argentina s.a.,14,14,"pilar, buenos aires, argentina",AR,NA,inesaargentina.com,NA,-1,more missing 190626
caem,14,14,"federal, entre rios, argentina",AR,NA,caem.com.ar,NA,-1,more missing 190626
fundicin san cayetano,14,14,"burzaco, buenos aires, argentina",AR,NA,fscnet.com.ar,NA,-1,more missing 190626
minera exar s.a.,14,14,"jujuy, jujuy, argentina",AR,NA,mineraexar.com.ar,NA,-1,more missing 190626
ady resources ltd. - enirgi group corporation,14,14,"salta, salta, argentina",AR,NA,adyargentina.com.ar,NA,-1,more missing 190626
famiq s.a.,14,14,"federal, entre rios, argentina",AR,NA,famiq.com,NA,-1,more missing 190626
