company_name,domain,,real_domain
emal,,,emal.ae
al ghurair iron & steel llc,alghurair.com,,agis.ae
alam steel,alamsteel.co,,alamsteel.net
taweelah aluminium extrusion company (talex) llc,talex.ae,,senaat.co
belchina group of companies,belchinagroup.net,,belchina.com
afghanite geo & mining engineering services (iso certified),,,afghanite.net
sociedade mineira do chitotolo,chitotolo.net,,chitotolo.com
costa blanca angola,angop.ao,,costablanca-angola.com
cementos avellaneda s.a.,cavellaneda.com.ar,,cementosavellaneda.com.ar
caem,caem.net,,caem.com.ar
ady resources ltd. - enirgi group corporation,miningconnection.com,,adyargentina.com.ar
famiq s.a.,famiq.com.ar,,famiq.com
argentoil s.a.,,,inflex.com.ar
bertotto boglione,bertotto-boglione.com,,bertotto-boglione.com.ar
ceras san juan s.a.,,,cerassj.com
minera tea,,,mineratea.com.ar
smg servicios mineros,smgminera.com.ar,,smgminera.com
compa±ia argentina de perforaciones s.a,argentinamining.com,,caperforaciones.com
soldaduras especiales srl,,,ctsalloys.com
rhi ag,rhimagnesita.com,,rhi-ag.com
hammerer aluminium industries gmbh,,,hai-aluminium.at
aßos bohler-uddeholm do brasil,bohler-brasil.com.br,,bohler-uddeholm.com.br
worthington cylinders gmbh,worthingtonindustries.at,,wthg.at
voestalpine bohler welding india,voestalpine.com,,bohlerweldinggroupindia.com
schmolz+bickenbach austria gmbh,ims-austria.com,,schmolz-bickenbach.at
plansee group,plansee.com,,plansee-group.com
voestalpine bhler welding austria gmbh,voestalpine.com,,boehler-welding.com
als,israls.org.il,,alsglobal.com
bhp billiton,bhp.com,,bhpbilliton.com
calibre,calibre-ebook.com,,calibreglobal.com.au
rio tinto coal australia,riotinto.com,,riotintocoalaustralia.com.au
lycopodium,,,lycopodium.com.au
new hope group,en.newhopegroup.com,,newhopegroup.com.au
csa mine glencore xstrata,,,csamine.com.au
gold corporation - the perth mint,perthmint.com,,perthmint.com.au
arrium mining,mininglink.com.au ,,arrium.com.au
austin engineering ltd,austineng.com,,austineng.com.au
h-e parts international,h-eparts.com,,h-epartsinternational.com
curragh mine,,,wesresources.com.au
engenium,engeniumgroup.com,,engenium.com.au
convatech,,,convatech.com.au
gma garnet group,gmagarnet.com,,garnetsales.com
btp group,btpgroup.com,,btparts.com.au
snowden,edwardsnowden.com,,snowdengroup.com
diab engineering pty ltd,diabengineering.com.au,,diabeng.com.au
mec mining,mecmining.com.au,,mecmining.com
atc williams,atcwilliams.com,,atcwilliams.com.au
lva,,,lva.com.au
ramelius resources limited,rameliusresources.com.au,,matagalls.com
doray minerals limited,,,dorayminerals.com.au
sefar filter specialists pty ltd,sefar.com.au,,sefar.com
ngarda civil & mining,,,ngarda.com.au
hmg hardchrome,hmg.net.au,,hmghardchrome.com.au
austube mills,austubemills.com.au,,austubemills.com
dingo,,,dingo.com
rud australia,rud.com,,rud.com.au
wiggins island coal export terminal pty ltd,,,wicet.com.au
expressway spares pty ltd,expressway-spares.tradeearthmovers.com.au,,expressway.com.au
galaxy resources,gxy.com,,galaxylithium.com
resource equipment limited,resourceequipment.com,,rel.com.au
paull & warner resources,,,pwr.net.au
qg,theqg.com,,qgconsulting.com.au
proteus epcm engineers,,,proteusgroup.com.au
techserve,techservealliance.org,,techserve.com.au
tawana resources nl,,,tawana.com.au
ensham resources pty ltd.,idemitsu.com.au ,,ensham.com.au
industrial galvanizers australia,manual.ingal.com.au,,ingal.com.au
kimberley diamond company,kimberleydiamond.com,,kdl.com.au
sibelco australia & new zealand,sibelco.com,,sibelco.com.au
delta sbd limited,,,deltasbd.com.au
subzero group limited- mining support specialists,,,subzeroservices.com.au
mineexcellence(me),,,mineexcellence.com
castlemaine goldfields limited,,,cgt.net.au
interquip construction pty ltd,macainterquip.net.au,,interquip.com.au
the chamber of minerals and energy of western australia,cmewa.com,,cmewa.com.au
vaas industries pvt. ltd.,,,anengpacific.com
entech pty ltd,entechmining.com.au,,entechmining.com
axt pty ltd,axtxraytubes.com,,axt.com.au
conveyor products & solutions,conveyorproducts.com.au,,cpsconveyors.com.au
precision screen,precisionscreenspecialties.com,,precisionscreen.com.au
traverse drilling international,titelineinternational.com.au,,traversedrilling.com
robust resources limited,,,robustresources.com.au
ernest henry mining pty ltd,ernesthenrymining.com.au,,mim.com.au
middlemount south,,,middlemountsouth.com
