company_name,domain,,real_domain
emirates steel,emiratessteel.com,,emiratessteel.com
hamriyah steel,hamriyahsteel.ae,,hamriyahsteel.ae
asia bolts industries llc,asia-bolt.com,,asia-bolt.com
link middle east limited,linkmiddleeast.com,,linkmiddleeast.com
conares,conares.com,,conares.com
emirates gold,emiratesgold.ae,,emiratesgold.ae
global wear solutions,globalwearsolutions.com,,globalwearsolutions.com
fistco,fistco.net,,fistco.net
amania mining,amania-mining.com,,amania-mining.com
catoca,catoca.com,,catoca.com
endiama e.p.,endiama.co.ao,,endiama.co.ao
acindar | grupo arcelormittal,acindar.com.ar,,acindar.com.ar
aluar,aluar.com.ar,,aluar.com.ar
minera alumbrera,alumbrera.com.ar,,alumbrera.com.ar
cerro vanguardia,cerrovanguardia.com.ar,,cerrovanguardia.com.ar
sales de jujuy s.a.,salesdejujuy.com,,salesdejujuy.com
sidersa sa,sidersa.com,,sidersa.com
famiq s.a.,famiq.com.ar,,famiq.com.ar
inesa argentina s.a.,inesaargentina.com,,inesaargentina.com
fundicin san cayetano,fscnet.com.ar,,fscnet.com.ar
minera exar s.a.,mineraexar.com.ar,,mineraexar.com.ar
baw buenos aires welding s.r.l.,baw.com.ar,,baw.com.ar
sermico srl,sermico.com.ar,,sermico.com.ar
rojas & asociados,rojasyasociados.com,,rojasyasociados.com
alex stewart argentina,alexstewart.com.ar,,alexstewart.com.ar
imsa cables el©ctricos y productos para bobinaje,imsa.com.ar,,imsa.com.ar
argentina mining,argentinamining.com,,argentinamining.com
larocca mineria s.a.,laroccamineria.com.ar,,laroccamineria.com.ar
poberaj s.a.,poberaj.com.ar,,poberaj.com.ar
fluorita crdoba s.a.,fluoritacordoba.com.ar,,fluoritacordoba.com.ar
rhi magnesita,rhimagnesita.com,,rhimagnesita.com
voestalpine,voestalpine.com,,voestalpine.com
welser profile,welser.com,,welser.com
salzburger aluminium ag,sag.at,,sag.at
bhler edelstahl gmbh & co kg,bohler-edelstahl.com,,bohler-edelstahl.com
montanwerke brixlegg ag,montanwerke-brixlegg.com,,montanwerke-brixlegg.com
bhp billiton,bhp.com,,bhp.com
orica,orica.com,,orica.com
newcrest mining,newcrest.com.au,,newcrest.com.au
south32,south32.net,,south32.net
mmg limited,mmg.com,,mmg.com
ausenco,ausenco.com,,ausenco.com
harmony gold,harmony.co.za,,harmony.co.za
panaust,panaust.com.au,,panaust.com.au
citic pacific mining,citicpacificmining.com,,citicpacificmining.com
macmahon,macmahon.com.au,,macmahon.com.au
iluka resources,iluka.com,,iluka.com
barminco,barminco.com.au,,barminco.com.au
evolution mining,evolutionmining.com.au,,evolutionmining.com.au
sedgman limited,sedgman.com,,sedgman.com
mineral resources limited,mineralresources.com.au,,mineralresources.com.au
oz minerals,ozminerals.com,,ozminerals.com
northern star resources limited,nsrltd.com,,nsrltd.com
st barbara limited,stbarbara.com.au,,stbarbara.com.au
byrnecut offshore pty ltd,byrnecutoffshore.com,,byrnecutoffshore.com
ausdrill,ausdrill.com.au,,ausdrill.com.au
maca ltd,maca.net.au,,maca.net.au
pybar mining services,pybar.com.au,,pybar.com.au
queensland alumina limited,qal.com.au,,qal.com.au
linkforce engineering,linkforce.com.au,,linkforce.com.au
tomago aluminium,tomago.com.au,,tomago.com.au
karara mining ltd,kararamining.com.au,,kararamining.com.au
resolute mining limited,rml.com.au,,rml.com.au
fenner dunlop australia pty ltd,fennerdunlop.com.au,,fennerdunlop.com.au
imdex limited,imdexlimited.com,,imdexlimited.com
independence group (igo),igo.com.au,,igo.com.au
aj lucas,lucas.com.au,,lucas.com.au
orrcon steel,orrconsteel.com.au,,orrconsteel.com.au
wagners,wagner.com.au,,wagner.com.au
amc consultants,amcconsultants.com,,amcconsultants.com
mastermyne group,mastermyne.com.au,,mastermyne.com.au
deswik,deswik.com,,deswik.com
groundprobe,groundprobe.com,,groundprobe.com
msp engineering pty ltd,mspengineering.com.au,,mspengineering.com.au
immersive technologies,immersivetechnologies.com,,immersivetechnologies.com
mst global,mstglobal.com,,mstglobal.com
coal services pty limited,coalservices.com.au,,coalservices.com.au
csa global,csaglobal.com,,csaglobal.com
queensland nickel,qni.com.au,,qni.com.au
syrah resources ltd,syrahresources.com.au,,syrahresources.com.au
mineral technologies,mineraltechnologies.com,,mineraltechnologies.com
mount gibson iron,mtgibsoniron.com.au,,mtgibsoniron.com.au
grange resources,grangeresources.com.au,,grangeresources.com.au
coventry group ltd,cgl.com.au,,cgl.com.au
regis resources ltd,regisresources.com.au,,regisresources.com.au
swick mining services ltd,swickmining.com,,swickmining.com
refmet engineering services,refmet.net,,refmet.net
cpc engineering,cpcengineering.com.au,,cpcengineering.com.au
cmoc northparkes mines,northparkes.com,,northparkes.com
fast jv,fastjv.com.au,,fastjv.com.au
minjar gold pty ltd,minjargold.com.au,,minjargold.com.au
sandfire resources nl,sandfire.com.au,,sandfire.com.au
ugm australia,ugm.com.au,,ugm.com.au
wisely group,wisely.com.au,,wisely.com.au
atlas iron limited,atlasiron.com.au,,atlasiron.com.au
gekko systems,gekkos.com,,gekkos.com
mining associates,miningassociates.com,,miningassociates.com
sun engineering (qld) pty ltd,suneng.com.au,,suneng.com.au
mining people international,miningpeople.com.au,,miningpeople.com.au
sumatra copper and gold,sumatracoppergold.com,,sumatracoppergold.com
minprovise,minprovise.com.au,,minprovise.com.au
fero group,fero.com.au,,fero.com.au
paladin africa ltd,paladinenergy.com.au,,paladinenergy.com.au
glencore technology,glencoretechnology.com,,glencoretechnology.com
exact mining services pty ltd,exactcontracting.com.au,,exactcontracting.com.au
minearc systems,minearc.com,,minearc.com
geographe enterprises,geographe.com.au,,geographe.com.au
elastomers australia,elastomersaustralia.com.au,,elastomersaustralia.com.au
mining one consultants,miningone.com.au,,miningone.com.au
minetec pty ltd,minetec.com.au,,minetec.com.au
chinova resources pty ltd,chinovaresources.com,,chinovaresources.com
tmm group,tmmgroup.com.au,,tmmgroup.com.au
national pump & energy,nationalpump.com.au,,nationalpump.com.au
xenith consulting,xenith.com.au,,xenith.com.au
millennium minerals limited,millenniumminerals.com.au,,millenniumminerals.com.au
alkane resources ltd,alkane.com.au,,alkane.com.au
cudeco limited,cudeco.com.au,,cudeco.com.au
pims group - australia,pimsgroup.com.au,,pimsgroup.com.au
uon pty ltd,uon.com.au,,uon.com.au
dawsons group of companies,dawsonseng.com.au,,dawsonseng.com.au
jtmec pty ltd,jtmec.com.au,,jtmec.com.au
mancala group,mancala.com.au,,mancala.com.au
heathgate resources pty ltd,heathgate.com.au,,heathgate.com.au
imatech,imatech.com.au,,imatech.com.au
rsc mining & mineral exploration,rscmme.com,,rscmme.com
imp group (pty) ltd,impautomation.com,,impautomation.com
mineware,mineware.com,,mineware.com
tasman power,tasmanpower.com,,tasmanpower.com
jsw australia,jswaustralia.com,,jswaustralia.com
palaris,palaris.com,,palaris.com
wearx,wearx.com,,wearx.com
