company_name,domain,,real_domain
emirates steel,emiratessteel.com,,emiratessteel.com
emal,,,emal.ae
al ghurair iron & steel llc,alghurair.com,,agis.ae
hamriyah steel,hamriyahsteel.ae,,hamriyahsteel.ae
alam steel,alamsteel.co,,alamsteel.net
taweelah aluminium extrusion company (talex) llc,talex.ae,,senaat.co
asia bolts industries llc,asia-bolt.com,,asia-bolt.com
link middle east limited,linkmiddleeast.com,,linkmiddleeast.com
conares,conares.com,,conares.com
emirates gold,emiratesgold.ae,,emiratesgold.ae
belchina group of companies,belchinagroup.net,,belchina.com
global wear solutions,globalwearsolutions.com,,globalwearsolutions.com
fistco,fistco.net,,fistco.net
amania mining,amania-mining.com,,amania-mining.com
afghanite geo & mining engineering services (iso certified),,,afghanite.net
catoca,catoca.com,,catoca.com
sociedade mineira do chitotolo,chitotolo.net,,chitotolo.com
endiama e.p.,endiama.co.ao,,endiama.co.ao
costa blanca angola,angop.ao,,costablanca-angola.com
acindar | grupo arcelormittal,acindar.com.ar,,acindar.com.ar
aluar,aluar.com.ar,,aluar.com.ar
minera alumbrera,alumbrera.com.ar,,alumbrera.com.ar
cementos avellaneda s.a.,cavellaneda.com.ar,,cementosavellaneda.com.ar
cerro vanguardia,cerrovanguardia.com.ar,,cerrovanguardia.com.ar
sales de jujuy s.a.,salesdejujuy.com,,salesdejujuy.com
sidersa sa,sidersa.com,,sidersa.com
famiq s.a.,famiq.com.ar,,famiq.com.ar
inesa argentina s.a.,inesaargentina.com,,inesaargentina.com
caem,caem.net,,caem.com.ar
fundicin san cayetano,fscnet.com.ar,,fscnet.com.ar
minera exar s.a.,mineraexar.com.ar,,mineraexar.com.ar
ady resources ltd. - enirgi group corporation,miningconnection.com,,adyargentina.com.ar
famiq s.a.,famiq.com.ar,,famiq.com
baw buenos aires welding s.r.l.,baw.com.ar,,baw.com.ar
sermico srl,sermico.com.ar,,sermico.com.ar
argentoil s.a.,,,inflex.com.ar
rojas & asociados,rojasyasociados.com,,rojasyasociados.com
alex stewart argentina,alexstewart.com.ar,,alexstewart.com.ar
bertotto boglione,bertotto-boglione.com,,bertotto-boglione.com.ar
imsa cables el©ctricos y productos para bobinaje,imsa.com.ar,,imsa.com.ar
ceras san juan s.a.,,,cerassj.com
argentina mining,argentinamining.com,,argentinamining.com
larocca mineria s.a.,laroccamineria.com.ar,,laroccamineria.com.ar
minera tea,,,mineratea.com.ar
smg servicios mineros,smgminera.com.ar,,smgminera.com
