id,service_type,service_name,identifier,country,status
0,hosting,IBM,159.253.158.0/23,NL,
1,hosting,IBM,159.8.198.0/23,NL,
2,hosting,IBM,169.38.118.0/23,IN,
3,hosting,IBM,66.228.118.0/23,US,
4,hosting,IBM,173.192.118.0/23,US,
5,hosting,IBM,184.172.118.0/23,US,
6,hosting,IBM,50.22.118.0/23,US,
7,hosting,IBM,192.255.18.0/24,US,
8,hosting,IBM,198.23.118.0/23,US,
9,hosting,IBM,169.46.118.0/23,US,
10,hosting,IBM,169.47.118.0/23,US,
11,hosting,IBM,169.48.118.0/24,US,
12,hosting,IBM,159.122.118.0/23,DE,
13,hosting,IBM,161.156.118.0/24,DE,
14,hosting,IBM,149.81.118.0/23,DE,
15,hosting,IBM,119.81.138.0/23,CN,
16,hosting,IBM,173.193.118.0/23,US,
17,hosting,IBM,5.10.118.0/23,GB,
18,hosting,IBM,169.62.118.0/24,GB,
19,hosting,IBM,141.125.118.0/23,GB,
20,hosting,IBM,158.176.118.0/23,GB,
21,hosting,IBM,168.1.118.0/23,AU,
22,hosting,IBM,169.57.118.0/23,MX,
23,hosting,IBM,159.122.138.0/23,IT,
24,hosting,IBM,169.54.118.0/23,CA,
25,hosting,IBM,159.8.118.0/23,FR,
26,hosting,IBM,169.51.118.0/24,NO,
27,hosting,IBM,169.57.138.0/23,BR,
28,hosting,IBM,67.228.118.0/23,US,
29,hosting,IBM,169.56.118.0/24,KR,
30,hosting,IBM,50.23.118.0/23,US,
31,hosting,IBM,169.45.118.0/23,US,
32,hosting,IBM,169.62.118.0/24,US,
33,hosting,IBM,174.133.118.0/23,SG,
34,hosting,IBM,168.1.18.0/23,AU,
35,hosting,IBM,130.198.118.0/23,AU,
36,hosting,IBM,135.90.118.0/23,AU,
37,hosting,IBM,161.202.118.0/23,JP,
38,hosting,IBM,128.168.118.0/23,JP,
39,hosting,IBM,165.192.118.0/23,JP,
40,hosting,IBM,158.85.118.0/23,CA,
41,hosting,IBM,208.43.118.0/23,US,
42,hosting,IBM,192.255.38.0/24,US,
43,hosting,IBM,169.55.118.0/23,US,
44,hosting,IBM,169.60.118.0/23,US,
45,hosting,IBM,169.61.118.0/23,US,
46,cdn,IBM,159.253.157.0/24,NL,
47,cdn,IBM,159.8.197.0/24,NL,
48,cdn,IBM,169.38.117.0/24,IN,
49,cdn,IBM,"67.228.66.0/24, 75.126.76.0/24, 174.35.17.0/24, 208.43.15.0/24",US,
50,cdn,IBM,"50.23.203.0/24, 108.168.157.0/24, 173.192.117.0/24, 192.155.205.0/24",US,
51,cdn,IBM,184.172.117.0/24,US,
52,cdn,IBM,50.22.117.0/24,US,
53,cdn,IBM,"169.46.187.0/24, 198.23.117.0/24",US,
54,cdn,IBM,169.46.117.0/24,US,
55,cdn,IBM,169.47.117.0/24,US,
56,cdn,IBM,169.48.117.0/24,US,
57,cdn,IBM,159.122.117.0/24,DE,
58,cdn,IBM,161.156.117.0/24,DE,
59,cdn,IBM,149.81.117.0/24,DE,
60,cdn,IBM,119.81.137.0/24,CN,
61,cdn,IBM,173.193.118.0/23,US,
62,cdn,IBM,5.10.117.0/24,GB,
63,cdn,IBM,158.175.117.0/24,GB,
64,cdn,IBM,141.125.117.0/24,GB,
65,cdn,IBM,158.176.117.0/24,GB,
66,cdn,IBM,168.1.117.0/24,AU,
67,cdn,IBM,169.57.117.0/24,MX,
68,cdn,IBM,159.122.137.0/24,IT,
69,cdn,IBM,169.54.117.0/24,CA,
70,cdn,IBM,159.8.117.0/24,FR,
71,cdn,IBM,169.51.117.0/24,NO,
72,cdn,IBM,169.57.137.0/24,BR,
73,cdn,IBM,67.228.117.0/24,US,
74,cdn,IBM,169.56.117.0/24,KR,
75,cdn,IBM,50.23.117.0/24,US,
76,cdn,IBM,169.45.117.0/24,US,
77,cdn,IBM,174.133.117.0/24,SG,
78,cdn,IBM,168.1.17.0/24,AU,
79,cdn,IBM,130.198.117.0/24,AU,
80,cdn,IBM,135.90.117.0/24,AU,
81,cdn,IBM,161.202.117.0/24,JP,
82,cdn,IBM,128.168.117.0/24,JP,
83,cdn,IBM,165.192.117.0/24,JP,
84,cdn,IBM,158.85.117.0/24,CA,
85,cdn,IBM,"50.22.248.0/25, 169.54.27.0/24, 198.11.250.0/24, 208.43.117.0/24",US,
86,cdn,IBM,169.55.117.0/24,US,
87,cdn,IBM,169.60.117.0/24,US,
88,cdn,IBM,169.61.117.0/24,US,
89,security_vendor,IBM,"159.253.156.0/24, 159.8.196.0/24",NL,
90,security_vendor,IBM,169.38.116.0/24,IN,
91,security_vendor,IBM,75.126.61.0/24,US,
92,security_vendor,IBM,159.122.116.0/24,DE,
93,security_vendor,IBM,119.81.136.0/24,CN,
94,security_vendor,IBM,173.193.116.0/24,US,
95,security_vendor,IBM,169.56.116.0/24,KR,
96,security_vendor,IBM,5.10.116.0/24,GB,
97,security_vendor,IBM,168.1.116.0/24,AU,
98,security_vendor,IBM,169.57.116.0/24,MX,
99,security_vendor,IBM,159.122.136.0/24,IT,
100,security_vendor,IBM,169.54.116.0/24,CA,
101,security_vendor,IBM,169.56.116.0/24,NO,
102,security_vendor,IBM,159.8.116.0/24,FR,
103,security_vendor,IBM,169.57.136.0/24,BR,
104,security_vendor,IBM,50.23.167.0/24,US,
105,security_vendor,IBM,50.23.116.0/24,US,
106,security_vendor,IBM,174.133.116.0/24,SG,
107,security_vendor,IBM,168.1.16.0/24,AU,
108,security_vendor,IBM,161.202.116.0/24,JP,
109,security_vendor,IBM,158.85.116.0/24,CA,
110,security_vendor,IBM,50.22.255.0/24,US,
111,security_vendor,IBM,159.122.137.0/24,IT,
112,security_vendor,IBM,169.54.117.0/24,CA,
113,security_vendor,IBM,159.8.117.0/24,FR,
114,security_vendor,IBM,169.51.117.0/24,NO,
115,security_vendor,IBM,169.57.137.0/24,BR,
116,security_vendor,IBM,67.228.117.0/24,US,
117,security_vendor,IBM,169.56.117.0/24,KR,
118,security_vendor,IBM,50.23.117.0/24,US,
119,security_vendor,IBM,169.45.117.0/24,US,
120,security_vendor,IBM,174.133.117.0/24,SG,
121,security_vendor,IBM,168.1.17.0/24,AU,
122,security_vendor,IBM,130.198.117.0/24,AU,
123,security_vendor,IBM,135.90.117.0/24,AU,
124,security_vendor,IBM,161.202.117.0/24,JP,
125,security_vendor,IBM,128.168.117.0/24,JP,
126,security_vendor,IBM,165.192.117.0/24,JP,
127,security_vendor,IBM,158.85.117.0/24,CA,
128,security_vendor,IBM,"50.22.248.0/25, 169.54.27.0/24, 198.11.250.0/24, 208.43.117.0/24",US,
129,security_vendor,IBM,169.55.117.0/24,US,
130,security_vendor,IBM,169.60.117.0/24,US,
131,security_vendor,IBM,169.61.117.0/24,US,
132,security_vendor,IBM,173.192.255.232,,
133,security_vendor,IBM,172.17.19.38,,
134,security_vendor,IBM,100.100.1.41,,
135,security_vendor,IBM,100.64.23.41,,
136,hosting,IBM,10.2.64.0/20,NL,
137,hosting,IBM,10.3.128.0/20,NL,
138,hosting,IBM,10.200.16.0/20,IN,
139,hosting,IBM,10.0.64.0/19,US,
140,hosting,IBM,10.1.128.0/19,US,
141,hosting,IBM,10.2.128.0/20,US,
142,hosting,IBM,10.1.176.0/20,US,
143,hosting,IBM,100.100.0.0/20,US,
144,hosting,IBM,"10.2.112.0/20 , 10.3.192.0/24",US,
145,hosting,IBM,10.200.80.0/20,US,
146,hosting,IBM,10.200.112.0/20,US,
147,hosting,IBM,10.200.128.0/20,US,
148,hosting,IBM,10.3.80.0/20,DE,
149,hosting,IBM,10.201.112.0/20,DE,
150,hosting,IBM,10.201.128.0/20,DE,
151,hosting,IBM,10.2.160.0/20,CN,
152,hosting,IBM,10.1.160.0/20,US,
153,hosting,IBM,10.1.208.0/20,GB,
154,hosting,IBM,10.201.32.0/20,GB,
155,hosting,IBM,10.201.48.0/20,GB,
156,hosting,IBM,10.201.64.0/20,GB,
157,hosting,IBM,10.2.80.0/20,AU,
158,hosting,IBM,10.2.176.0/20,MX,
159,hosting,IBM,10.3.144.0/20,IT,
160,hosting,IBM,10.3.112.0/20,CA,
161,hosting,IBM,10.2.144.0/20,FR,
162,hosting,IBM,10.200.96.0/20,NO,
163,hosting,IBM,10.200.0.0/20,BR,
164,hosting,IBM,10.1.64.0/19,US,
165,hosting,IBM,10.200.64.0/20,KR,
166,hosting,IBM,10.1.192.0/20,US,
167,hosting,IBM,10.3.176.0/20,US,
168,hosting,IBM,10.201.80.0/20,US,
169,hosting,IBM,10.2.32.0/20,SG,
170,hosting,IBM,10.3.96.0/20,AU,
171,hosting,IBM,10.201.16.0/20,AU,
172,hosting,IBM,10.202.16.0/20,AU,
173,hosting,IBM,10.3.64.0/20,JP,
174,hosting,IBM,10.201.176.0/20,JP,
175,hosting,IBM,10.201.192.0/20,JP,
176,hosting,IBM,10.2.48.0/20,CA,
177,hosting,IBM,10.1.96.0/19,US,
178,hosting,IBM,100.100.32.0/20,US,
179,hosting,IBM,"10.3.160.0/20 , 10.201.0.0/20",US,
180,hosting,IBM,10.200.160.0/20,US,
181,hosting,IBM,10.200.176.0/20,US,
182,hosting,IBM,10.2.200.0/23,NL,
183,hosting,IBM,10.3.220.0/24,NL,
184,hosting,IBM,10.200.232.0/24,IN,
185,hosting,IBM,10.1.0.0/23,US,
186,hosting,IBM,10.1.24.0/23,US,
187,hosting,IBM,10.2.208.0/23,US,
188,hosting,IBM,10.1.236.0/24,US,
189,hosting,IBM,10.2.232.0/24,US,
190,hosting,IBM,10.200.228.0/24,US,
191,hosting,IBM,10.200.216.0/22,US,
192,hosting,IBM,10.200.212.0/22,US,
193,hosting,IBM,10.2.236.0/24,DE,
194,hosting,IBM,10.2.216.0/24,CN,
195,hosting,IBM,10.1.56.0/23,US,
196,hosting,IBM,10.2.220.0/24,GB,
197,hosting,IBM,10.200.196.0/24,GB,
198,hosting,IBM,10.201.208.0/24,GB,
199,hosting,IBM,10.3.200.0/24,GB,
200,hosting,IBM,10.2.228.0/24,AU,
201,hosting,IBM,10.3.232.0/24,MX,
202,hosting,IBM,10.3.216.0/24,IT,
203,hosting,IBM,10.3.224.0/24,CA,
204,hosting,IBM,10.3.236.0/24,FR,
205,hosting,IBM,10.200.220.0/22,NO,
206,hosting,IBM,10.200.236.0/24,BR,
207,hosting,IBM,10.1.8.0/23,US,
208,hosting,IBM,10.200.224.0/22,KR,
209,hosting,IBM,10.1.224.0/23,US,
210,hosting,IBM,10.3.204.0/24,US,
211,hosting,IBM,10.200.192.0/24,US,
212,hosting,IBM,10.2.192.0/23,SG,
213,hosting,IBM,10.3.228.0/24,AU,
214,hosting,IBM,10.200.200.0/24,AU,
215,hosting,IBM,10.201.212.0/24,AU,
216,hosting,IBM,10.2.224.0/24,JP,
217,hosting,IBM,10.201.228.0/24,JP,
218,hosting,IBM,10.201.224.0/24,JP,
219,hosting,IBM,10.1.232.0/24,CA,
220,hosting,IBM,10.1.16.0/23,US,
221,hosting,IBM,10.3.212.0/24,US,
222,hosting,IBM,10.200.208.0/24,US,
223,hosting,IBM,10.200.204.0/24,US,
